# Auto-generated by generate_port_tracking.py
# Format: Kind | SourcePath | MappedPath | Status | Notes
Source | Source/Common/Audio/AudioEventRTS.cpp | - | MISSING | subsystem=Common
Source | Source/Common/Audio/AudioRequest.cpp | - | MISSING | subsystem=Common
Source | Source/Common/Audio/DynamicAudioEventInfo.cpp | - | MISSING | subsystem=Common
Source | Source/Common/Audio/GameAudio.cpp | - | MISSING | subsystem=Common
Source | Source/Common/Audio/GameMusic.cpp | - | MISSING | subsystem=Common
Source | Source/Common/Audio/GameSounds.cpp | - | MISSING | subsystem=Common
Source | Source/Common/Audio/GameSpeech.cpp | - | MISSING | subsystem=Common
Source | Source/Common/Audio/simpleplayer.cpp | Common/src/audio/simpleplayer.rs | FOUND | subsystem=Common
Source | Source/Common/Audio/urllaunch.cpp | Common/src/audio/urllaunch.rs | FOUND | subsystem=Common
Source | Source/Common/Bezier/BezFwdIterator.cpp | - | MISSING | subsystem=Common
Source | Source/Common/Bezier/BezierSegment.cpp | - | MISSING | subsystem=Common
Source | Source/Common/BitFlags.cpp | - | MISSING | subsystem=Common
Source | Source/Common/CRCDebug.cpp | - | MISSING | subsystem=Common
Source | Source/Common/CommandLine.cpp | - | MISSING | subsystem=Common
Source | Source/Common/DamageFX.cpp | - | MISSING | subsystem=Common
Source | Source/Common/Dict.cpp | Common/src/dict.rs | FOUND | subsystem=Common
Source | Source/Common/DiscreteCircle.cpp | - | MISSING | subsystem=Common
Source | Source/Common/GameEngine.cpp | - | MISSING | subsystem=Common
Source | Source/Common/GameLOD.cpp | - | MISSING | subsystem=Common
Source | Source/Common/GameMain.cpp | - | MISSING | subsystem=Common
Source | Source/Common/GlobalData.cpp | - | MISSING | subsystem=Common
Source | Source/Common/INI/INI.cpp | Common/src/ini/ini.rs | FOUND | subsystem=Common
Source | Source/Common/INI/INIAiData.cpp | - | MISSING | subsystem=Common
Source | Source/Common/INI/INIAnimation.cpp | - | MISSING | subsystem=Common
Source | Source/Common/INI/INIAudioEventInfo.cpp | - | MISSING | subsystem=Common
Source | Source/Common/INI/INICommandButton.cpp | - | MISSING | subsystem=Common
Source | Source/Common/INI/INICommandSet.cpp | - | MISSING | subsystem=Common
Source | Source/Common/INI/INIControlBarScheme.cpp | - | MISSING | subsystem=Common
Source | Source/Common/INI/INICrate.cpp | - | MISSING | subsystem=Common
Source | Source/Common/INI/INIDamageFX.cpp | - | MISSING | subsystem=Common
Source | Source/Common/INI/INIDrawGroupInfo.cpp | - | MISSING | subsystem=Common
Source | Source/Common/INI/INIGameData.cpp | - | MISSING | subsystem=Common
Source | Source/Common/INI/INIMapCache.cpp | - | MISSING | subsystem=Common
Source | Source/Common/INI/INIMapData.cpp | - | MISSING | subsystem=Common
Source | Source/Common/INI/INIMappedImage.cpp | - | MISSING | subsystem=Common
Source | Source/Common/INI/INIMiscAudio.cpp | - | MISSING | subsystem=Common
Source | Source/Common/INI/INIModel.cpp | - | MISSING | subsystem=Common
Source | Source/Common/INI/INIMultiplayer.cpp | - | MISSING | subsystem=Common
Source | Source/Common/INI/INIObject.cpp | - | MISSING | subsystem=Common
Source | Source/Common/INI/INIParticleSys.cpp | - | MISSING | subsystem=Common
Source | Source/Common/INI/INISpecialPower.cpp | - | MISSING | subsystem=Common
